qiskit|Qiskit is an open-source SDK for working with quantum computers at the level of extended quantum circuits, operators, and primitives.|Qiskit|4879|4879|Python|https://github.com/Qiskit/qiskit|1.0|Apache License 2.0
qiskit-tutorials|A collection of Jupyter notebooks showing how to use the Qiskit SDK|Qiskit|2288|2288|Jupyter Notebook|https://github.com/Qiskit/qiskit-tutorials|1.0|Apache License 2.0
qiskit-metapackage|Qiskit is an open-source SDK for working with quantum computers at the level of circuits, algorithms, and application modules.|Qiskit|3035|3035|OpenQASM|https://github.com/Qiskit/qiskit-metapackage|1.0|Apache License 2.0
qiskit-textbook|A university quantum algorithms/computation course supplement based on Qiskit|qiskit-community|928|928|Jupyter Notebook|https://github.com/qiskit-community/qiskit-textbook|1.0|Apache License 2.0
qiskit-machine-learning|Quantum Machine Learning|qiskit-community|628|628|Python|https://github.com/qiskit-community/qiskit-machine-learning|1.0|Apache License 2.0
qiskit-translations|Home of Qiskit documentation translations|qiskit-community|144|144|Shell|https://github.com/qiskit-community/qiskit-translations|1.0|NO LICENSE
qiskit-aqua|Quantum Algorithms & Applications (**DEPRECATED** since April 2021 - see readme for more info)|qiskit-community|574|574|Python|https://github.com/qiskit-community/qiskit-aqua|1.0|Apache License 2.0
qiskit-community-tutorials|A collection of Jupyter notebooks developed by the community showing how to use Qiskit|qiskit-community|686|686|Jupyter Notebook|https://github.com/qiskit-community/qiskit-community-tutorials|1.0|Apache License 2.0
qiskit-aer|Aer is a high performance simulator for quantum circuits that includes noise models|Qiskit|470|470|C++|https://github.com/Qiskit/qiskit-aer|1.0|Apache License 2.0
platypus|Qiskit Textbook (beta)|Qiskit|124|124|Jupyter Notebook|https://github.com/Qiskit/platypus|1.0|Apache License 2.0
qiskit-nature|Qiskit Nature is an open-source, quantum computing, framework for solving quantum mechanical natural science problems.|qiskit-community|291|291|Python|https://github.com/qiskit-community/qiskit-nature|1.0|Apache License 2.0
qiskit-experiments|Qiskit Experiments|Qiskit-Extensions|151|151|Python|https://github.com/Qiskit-Extensions/qiskit-experiments|1.0|Apache License 2.0
qiskit-metal|Quantum Hardware Design. Open-source project for engineers and scientists to design superconducting quantum devices with ease. |qiskit-community|272|272|Python|https://github.com/qiskit-community/qiskit-metal|1.0|Apache License 2.0
qiskit-optimization|Quantum Optimization|qiskit-community|216|216|Python|https://github.com/qiskit-community/qiskit-optimization|1.0|Apache License 2.0
qiskit-ibm-runtime|IBM Client for Qiskit Runtime|Qiskit|141|141|Python|https://github.com/Qiskit/qiskit-ibm-runtime|1.0|Apache License 2.0
QiskitBlocks|Game that teaches quantum computing using Qiskit (http://qiskit.org) in a Minetest (http://minetest.net) block world. Works on Windows, macOS, GNU/Linux, FreeBSD, OpenBSD, DragonFly BSD, and Android. QiskitBlocks are leveraged in the Quantum Computing Workshop with QiskitBlocks (web-based slides https://slides.com/javafxpert/qiskitblocks)|JavaFXpert|213|213|Lua|https://github.com/JavaFXpert/QiskitBlocks|1.0|NO LICENSE
qiskit-ignis|Ignis (deprecated) provides tools for quantum hardware verification, noise characterization, and error correction.|qiskit-community|168|168|Python|https://github.com/qiskit-community/qiskit-ignis|1.0|Apache License 2.0
qiskit-finance|Quantum Finance|qiskit-community|221|221|Python|https://github.com/qiskit-community/qiskit-finance|1.0|Apache License 2.0
textbook|Source content for the Qiskit Textbook|Qiskit|276|276|Jupyter Notebook|https://github.com/Qiskit/textbook|1.0|Apache License 2.0
qiskit-ibmq-provider|Qiskit Provider for accessing the quantum devices and simulators at IBM Quantum.|Qiskit|241|241|Python|https://github.com/Qiskit/qiskit-ibmq-provider|1.0|Apache License 2.0
qiskit.org|The Qiskit official website|Qiskit|102|102|TypeScript|https://github.com/Qiskit/qiskit.org|1.0|Apache License 2.0
qiskit-ibm-provider|Qiskit Provider for accessing the IBM Quantum Services: Online Systems and Simulators|Qiskit|77|77|Python|https://github.com/Qiskit/qiskit-ibm-provider|1.0|Apache License 2.0
pennylane-qiskit|The PennyLane-Qiskit plugin integrates the Qiskit quantum computing framework and IBM Q with PennyLane.|PennyLaneAI|180|180|Python|https://github.com/PennyLaneAI/pennylane-qiskit|1.0|Apache License 2.0
qiskit-research|Research using Qiskit.|qiskit-community|66|66|Python|https://github.com/qiskit-community/qiskit-research|1.0|Apache License 2.0
qiskit-dynamics|Tools for building and solving models of quantum systems in Qiskit|Qiskit-Extensions|97|97|Python|https://github.com/Qiskit-Extensions/qiskit-dynamics|1.0|Apache License 2.0
qtcodes|Qiskit Topological Codes|yaleqc|89|89|Jupyter Notebook|https://github.com/yaleqc/qtcodes|1.0|Apache License 2.0
qiskit-algorithms|A library of quantum algorithms for Qiskit.|qiskit-community|91|91|Python|https://github.com/qiskit-community/qiskit-algorithms|1.0|Apache License 2.0
QiskitGlobalSummerSchool2022||anamariarojas123|54|54|Jupyter Notebook|https://github.com/anamariarojas123/QiskitGlobalSummerSchool2022|1.0|NO LICENSE
quantum-algorithms-tutorials|Tutorials for Quantum Algorithms with Qiskit implementations.|DavitKhach|217|217|Jupyter Notebook|https://github.com/DavitKhach/quantum-algorithms-tutorials|1.0|MIT License
ecosystem|The Ecosystem consists of projects, tools, utilities, libraries and tutorials from a broad community of developers and researchers. The goal of the Ecosystem is to recognize, support and accelerate development of quantum technologies using Qiskit.|Qiskit|94|94|Python|https://github.com/Qiskit/ecosystem|1.0|Apache License 2.0
web-components|Qiskit Web Components|Qiskit|21|21|TypeScript|https://github.com/Qiskit/web-components|1.0|MIT License
qiskit4devs-workshop-notebooks|Jupyter notebooks containing guided exercises for developers learining quantum computing with Qiskit.|JavaFXpert|16|16|Jupyter Notebook|https://github.com/JavaFXpert/qiskit4devs-workshop-notebooks|1.0|NO LICENSE
qiskit-chemistry||chunfuchen|3|3|Python|https://github.com/chunfuchen/qiskit-chemistry|1.0|Apache License 2.0
Qiskit-Global-Summer-School-2024||Aaliyah6529|29|29||https://github.com/Aaliyah6529/Qiskit-Global-Summer-School-2024|1.0|NO LICENSE
qiskit-ibm-experiment|Allows accessing the IBM Quantum experiment database.|Qiskit-Extensions|10|10|Python|https://github.com/Qiskit-Extensions/qiskit-ibm-experiment|1.0|Apache License 2.0
qiskit-hackathon-korea-22||qiskit-community|35|35|Jupyter Notebook|https://github.com/qiskit-community/qiskit-hackathon-korea-22|1.0|NO LICENSE
qiskit-cold-atom|Tools to control cold-atom-based quantum simulators and quantum computers.|qiskit-community|28|28|Python|https://github.com/qiskit-community/qiskit-cold-atom|1.0|Apache License 2.0
qiskit-pocket-guide|Code from the Qiskit Pocket Guide book|qiskit-community|22|22|Jupyter Notebook|https://github.com/qiskit-community/qiskit-pocket-guide|1.0|Apache License 2.0
qiskit-quantinuum-provider|Qiskit provider for Quantinuum backends.|qiskit-community|22|22|Python|https://github.com/qiskit-community/qiskit-quantinuum-provider|1.0|Apache License 2.0
quantum-prototype-template|A template repository for generating new quantum prototypes based on Qiskit|qiskit-community|40|40|Python|https://github.com/qiskit-community/quantum-prototype-template|1.0|Apache License 2.0
qiskit-neko|An integration test suite for Qiskit|Qiskit|10|10|Python|https://github.com/Qiskit/qiskit-neko|1.0|Apache License 2.0
qiskit-aqua-interfaces|qiskit-aqua-interfaces provides command-line and graphical interfaces for executing experiments using Qiskit Aqua.|qiskit-community|17|17|Python|https://github.com/qiskit-community/qiskit-aqua-interfaces|1.0|Apache License 2.0
qiskit-nature-pyscf|Documentation at https://qiskit-community.github.io/qiskit-nature-pyscf/|qiskit-community|18|18|Python|https://github.com/qiskit-community/qiskit-nature-pyscf|1.0|Apache License 2.0
QuantumComputing|Collection of Tutorials and other Quantum Computer programming related things. |Sentdex|136|136|Jupyter Notebook|https://github.com/Sentdex/QuantumComputing|1.0|MIT License
qiskit-qcgpu-provider|A provider which allows Qiskit to use the QCGPU simulator|qiskit-community|25|25|Python|https://github.com/qiskit-community/qiskit-qcgpu-provider|1.0|Apache License 2.0
Quantum-Computing-in-Practice-with-Qiskit-and-IBM-Quantum-Experience|Quantum Computing in Practice with Qiskit and IBM Quantum Experience, published by Packt|PacktPublishing|50|50|Python|https://github.com/PacktPublishing/Quantum-Computing-in-Practice-with-Qiskit-and-IBM-Quantum-Experience|1.0|MIT License
qRNG|A quantum random number generator using IBM's QISKit.|ozaner|62|62|Python|https://github.com/ozaner/qRNG|1.0|GNU General Public License v3.0
community.qiskit.org|Home of the Qiskit Community|qiskit-community|12|12|HTML|https://github.com/qiskit-community/community.qiskit.org|1.0|NO LICENSE
qiskit-jku-provider|A local provider which allows Qiskit to use a decision-diagrams quantum simulator from JKU|qiskit-community|19|19|C++|https://github.com/qiskit-community/qiskit-jku-provider|1.0|Apache License 2.0
bosonic-qiskit|Extension of Qiskit to support hybrid boson-qubit simulations for the NQI C2QA effort.|C2QA|45|45|Jupyter Notebook|https://github.com/C2QA/bosonic-qiskit|1.0|"BSD 2-Clause ""Simplified"" License"
mitiq|Mitiq is an open source toolkit for implementing error mitigation techniques on most current intermediate-scale quantum computers.|unitaryfund|349|349|Python|https://github.com/unitaryfund/mitiq|1.0|GNU General Public License v3.0
pytket-qiskit|pytket-qiskit, extensions for pytket quantum SDK |CQCL|14|14|Python|https://github.com/CQCL/pytket-qiskit|1.0|Apache License 2.0
qiskit-workshop||mtreinish|18|18|Jupyter Notebook|https://github.com/mtreinish/qiskit-workshop|1.0|NO LICENSE
QRL|"GitHub repo for Qiskit Hackathon ""Quantum Reinforcement Learning"" project"|LauraGentini|27|27|Jupyter Notebook|https://github.com/LauraGentini/QRL|1.0|NO LICENSE
qiskit-fall-fest-peru-2022|Qiskit Fall Fest Peru 2022: Primera Escuela de Computación Cuántica|clausia|24|24|Jupyter Notebook|https://github.com/clausia/qiskit-fall-fest-peru-2022|1.0|Apache License 2.0
qiskit-hackathon-korea-21|A repository for Qiskit Hackathon Korea (February 16-19, 2021)|qiskit-community|33|33||https://github.com/qiskit-community/qiskit-hackathon-korea-21|1.0|NO LICENSE
Qiskit-Metal-to-Litho|From Qiskit Metal to pattern generation to real nanofabrication demo. Here, quantum devices on a chip are patterned via direct-write electron-beam lithography in a nanofabrication facility. Written & patterned by Onri Jay Benally, an Indigenous American quantum hardware engineer.|OJB-Quantum|32|32|Jupyter Notebook|https://github.com/OJB-Quantum/Qiskit-Metal-to-Litho|1.0|Creative Commons Attribution 4.0 International
learning-quantum|Study resources for learning quantum computing|lynnlangit|138|138|Jupyter Notebook|https://github.com/lynnlangit/learning-quantum|1.0|Apache License 2.0
qgss-2023|All things Qiskit Global Summer School 2023: Theory to Implementation - Lecture notes, Labs and Solutions |qiskit-community|91|91|Jupyter Notebook|https://github.com/qiskit-community/qgss-2023|1.0|NO LICENSE
qiskit-hackathon-taiwan-20||qiskit-community|32|32||https://github.com/qiskit-community/qiskit-hackathon-taiwan-20|1.0|NO LICENSE
Qiskit-for-GameDev|Tools for making game with IBM Qiskit|HuangJunye|21|21|Lua|https://github.com/HuangJunye/Qiskit-for-GameDev|1.0|NO LICENSE
Quantum_Computing_Workshop_2020|QuBit - a bit of quantum computing with Qiskit - a kit for quantum computing|mnp-club|46|46|Jupyter Notebook|https://github.com/mnp-club/Quantum_Computing_Workshop_2020|1.0|NO LICENSE
QiskitFlow|QiskitFlow. Framework for reproducible quantum experiments|IceKhan13|10|10|JavaScript|https://github.com/IceKhan13/QiskitFlow|1.0|Apache License 2.0
Qiskit-Certification-Guide|This contains jupyter notebooks with examples for each section  which would be quite helful.|dimple12M|10|10|Jupyter Notebook|https://github.com/dimple12M/Qiskit-Certification-Guide|1.0|GNU General Public License v3.0
qiskit-shors|Shor's Algorithm for factoring large integers using combination of Classical and Quantum Computing Algorithms|olekssy|16|16|Python|https://github.com/olekssy/qiskit-shors|1.0|MIT License
QArithmetic|Arithmetic library for IBM Qiskit|hkhetawat|35|35|HTML|https://github.com/hkhetawat/QArithmetic|1.0|Apache License 2.0
qiskit-alice-bob-provider|Qiskit provider to execute quantum circuits on Alice & Bob cat qubits|Alice-Bob-SW|21|21|Python|https://github.com/Alice-Bob-SW/qiskit-alice-bob-provider|1.0|Apache License 2.0
QizGloria|Qiskit Camp Europe 2019 (winning project)|BoschSamuel|31|31|Jupyter Notebook|https://github.com/BoschSamuel/QizGloria|1.0|NO LICENSE
Teach-Me-Quantum|⚛ 10 week Practical Course on Quantum Information Science and Quantum Computing - with Qiskit and IBMQX|msramalho|151|151|Jupyter Notebook|https://github.com/msramalho/Teach-Me-Quantum|1.0|NO LICENSE
quantum-ugly-duckling|Qiskit Hackathon Project|rochisha0|16|16|Jupyter Notebook|https://github.com/rochisha0/quantum-ugly-duckling|1.0|Apache License 2.0
qamp-spring-21|Qiskit advocate mentorship program (QAMP) spring 21 cohort|qiskit-advocate|42|42||https://github.com/qiskit-advocate/qamp-spring-21|1.0|NO LICENSE
qiskit-quantum-knn|A pure quantum knn classifier for a gated quantum computer.|GroenteLepel|21|21|Python|https://github.com/GroenteLepel/qiskit-quantum-knn|1.0|Apache License 2.0
QiskitML|Machine learning with Qiskit|amyami187|7|7|Jupyter Notebook|https://github.com/amyami187/QiskitML|1.0|NO LICENSE
pyRiemann-qiskit|A library for machine learning and quantum programming based on pyRiemann and Qiskit projects|pyRiemann|21|21|Python|https://github.com/pyRiemann/pyRiemann-qiskit|1.0|"BSD 3-Clause ""New"" or ""Revised"" License"
qiskit-dell-runtime|Qiskit Dell Runtime is a Qiskit Runtime platform that can execute classical-quantum code on both local and on-premise environments. With this platform, hybrid classical-quantum code bundle can be developed and executed. Powered by Qiskit Runtime API, this execution model provides close-integration of classical and quantum execution.|qiskit-community|27|27|Python|https://github.com/qiskit-community/qiskit-dell-runtime|1.0|Apache License 2.0
qiskit-qubit-reuse|A Qiskit transpiler stage plugin to enable qubit reuse via mid-circuit measurement and reset.|qiskit-community|14|14|Python|https://github.com/qiskit-community/qiskit-qubit-reuse|1.0|Apache License 2.0
coding-with-qiskit|Material for Coding with Qiskit 1.x|derek-wang-ibm|14|14|Jupyter Notebook|https://github.com/derek-wang-ibm/coding-with-qiskit|1.0|Apache License 2.0
quantuminspire|Quantum Inspire SDK|QuTech-Delft|62|62|Python|https://github.com/QuTech-Delft/quantuminspire|1.0|Apache License 2.0
qiskit_rng|Quantum random number generator with CQC extractor|qiskit-community|16|16|Python|https://github.com/qiskit-community/qiskit_rng|1.0|Apache License 2.0
qiskit-summer-jam-20||qiskit-community|13|13||https://github.com/qiskit-community/qiskit-summer-jam-20|1.0|NO LICENSE
IBM-Qiskit-Certification-Exam-Prep|IBM Qiskit Exam Preparation pointers & Resources|pratjz|23|23|Jupyter Notebook|https://github.com/pratjz/IBM-Qiskit-Certification-Exam-Prep|1.0|NO LICENSE
NUS-Qiskit-Workshop|Information for NUS Qiskit Workshop (18-20 May 2020)|HuangJunye|11|11|Jupyter Notebook|https://github.com/HuangJunye/NUS-Qiskit-Workshop|1.0|Apache License 2.0
dc-qiskit-qml|Quantum Machine Learning algorithms|carstenblank|14|14|Python|https://github.com/carstenblank/dc-qiskit-qml|1.0|Apache License 2.0
qiskit-camp-africa-19|Qiskit Camp Africa - December 11-14, 2019|qiskit-community|15|15||https://github.com/qiskit-community/qiskit-camp-africa-19|1.0|NO LICENSE
